"","participant","context","environment","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","p","roundnLL","contextOrder","meanScore"
"89",10,"Spatial","Rough",4,419.165381941604,0.410596668772436,"RBF","UCB",NA,1.11557066546314,0.145847526176198,0.0598958801212681,NA,57.7217563846443,"Conceptual First",78.125
"90",10,"Spatial","Rough",5,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.70711969400278,0.195264935378794,0.0503159635281084,1.09854557103599,48.5744315394724,"Conceptual First",78.125
"91",10,"Spatial","Rough",1,490.353219212323,0.31049692237665,"BMT","UCB",4.12726229350544,NA,0.236119921228345,0.0167339499858906,NA,49.3299925545381,"Conceptual First",78.125
"92",10,"Spatial","Rough",2,490.353219212323,0.31049692237665,"BMT","UCB",4.98513773636983,NA,0.262606935426276,0.0117651338384588,NA,66.0911575461178,"Conceptual First",78.125
"93",10,"Spatial","Rough",3,490.353219212323,0.31049692237665,"BMT","UCB",4.31862738455136,NA,0.234070881034773,0.0166703992026341,NA,40.030734147546,"Conceptual First",78.125
"94",10,"Spatial","Rough",4,490.353219212323,0.31049692237665,"BMT","UCB",5.64817304643552,NA,0.28855693581988,0.00802679892179517,NA,73.5844454955846,"Conceptual First",78.125
"95",10,"Spatial","Rough",5,490.353219212323,0.31049692237665,"BMT","UCB",4.65465158530286,NA,0.23864494582273,0.0148476945453695,NA,64.5980825866349,"Conceptual First",78.125
"96",10,"Spatial","Rough",6,490.353219212323,0.31049692237665,"BMT","UCB",4.30432962402794,NA,0.237336273453574,0.0158020187499218,NA,72.3628036776979,"Conceptual First",78.125
"97",10,"Spatial","Rough",7,490.353219212323,0.31049692237665,"BMT","UCB",4.68761326985765,NA,0.232354461226737,0.015554666172682,NA,38.3203114285283,"Conceptual First",78.125
"98",10,"Spatial","Rough",8,490.353219212323,0.31049692237665,"BMT","UCB",3.92327898358546,NA,0.235907855217834,0.0157152678304696,NA,70.3484690241184,"Conceptual First",78.125
"99",10,"Spatial","Rough",9,490.353219212323,0.31049692237665,"BMT","UCB",4.26426328165046,NA,0.237393655430528,0.0165685486938491,NA,15.6872227515569,"Conceptual First",78.125
"100",10,"Spatial","Rough",9,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.810211316271902,0.180628164140271,0.0546744639666223,1.10510081434966,10.7762539028671,"Conceptual First",78.125
"101",10,"Spatial","Rough",5,419.165381941604,0.410596668772436,"RBF","UCB",NA,0.922406532452578,0.175964785370272,0.056713716838117,NA,48.8802738646124,"Conceptual First",78.125
"102",10,"Spatial","Rough",6,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,1.04409583054778,0.146884623774336,0.0551659137855784,1.27237919469022,57.6498681273838,"Conceptual First",78.125
"103",10,"Spatial","Rough",7,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.94918064593493,0.185557187253237,0.0547510298125868,1.25828277742273,32.555875227212,"Conceptual First",78.125
"104",10,"Spatial","Rough",8,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.999590613194159,0.145579857729824,0.0526750918731558,1.21322518731347,61.948063017898,"Conceptual First",78.125
"105",10,"Spatial","Rough",9,419.165381941604,0.410596668772436,"RBF","UCB",NA,0.991781027837976,0.166539452152584,0.061832015633745,NA,11.3575774142531,"Conceptual First",78.125
"106",10,"Spatial","Rough",6,419.165381941604,0.410596668772436,"RBF","UCB",NA,1.09387590918497,0.13598037988365,0.0601113603745953,NA,60.0616202203111,"Conceptual First",78.125
"107",10,"Spatial","Rough",7,419.165381941604,0.410596668772436,"RBF","UCB",NA,1.0488322659561,0.178098318965996,0.0587404980907193,NA,34.8643280170714,"Conceptual First",78.125
"108",10,"Spatial","Rough",8,419.165381941604,0.410596668772436,"RBF","UCB",NA,1.06355267991534,0.12955053169359,0.0585247003053266,NA,63.1635231197675,"Conceptual First",78.125
"109",102,"Conceptual","Rough",1,414.134693147675,0.417670498962745,"BMT","UCB",0.457126478862096,NA,0.00673794699908549,0.0690738701007094,NA,42.5805414144073,"Conceptual First",73.105
"110",102,"Conceptual","Rough",3,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.935849531202121,0.00673794699925226,0.0595376837293035,1.98337777705988,6.87325022350307,"Conceptual First",73.105
"111",102,"Conceptual","Rough",2,414.134693147675,0.417670498962745,"BMT","UCB",1.63693593706377,NA,0.00673794699908547,0.0544390587328572,NA,55.3051609585864,"Conceptual First",73.105
"112",102,"Conceptual","Rough",3,414.134693147675,0.417670498962745,"BMT","UCB",1.2767387642478,NA,0.00673794699908551,0.0627426278964816,NA,6.24378269092932,"Conceptual First",73.105
"113",102,"Conceptual","Rough",4,414.134693147675,0.417670498962745,"BMT","UCB",1.32434977895189,NA,0.00673794699908551,0.0624846749420882,NA,38.9933088711564,"Conceptual First",73.105
"114",102,"Conceptual","Rough",4,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.920739024474157,0.00673794700194052,0.0597838688600514,1.9469067560936,37.0009012526694,"Conceptual First",73.105
"115",102,"Conceptual","Rough",5,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.875837273682523,0.00673794699980642,0.0586749167728105,1.99999999988584,38.4774020266217,"Conceptual First",73.105
"116",102,"Conceptual","Rough",1,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.985098448002652,0.0067379472092564,0.0569490206989473,1.92419189833896,46.3044328771427,"Conceptual First",73.105
"117",102,"Conceptual","Rough",2,367.735716405459,0.482913748132645,"SimKernel","UCB",NA,0.777327974321103,0.00673794700283678,0.058875600193953,1.97643009453412,34.3115965294915,"Conceptual First",73.105
"118",102,"Conceptual","Rough",1,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.988779556007304,0.00673794699947891,0.05704518473508,NA,46.2266735586043,"Conceptual First",73.105
"119",102,"Conceptual","Rough",2,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.881246666909614,0.00673794699910517,0.0588964577715537,NA,34.311079877703,"Conceptual First",73.105
"120",102,"Conceptual","Rough",3,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.966756368587837,0.00673794699909164,0.0595595076076997,NA,6.86984024117436,"Conceptual First",73.105
"121",102,"Conceptual","Rough",4,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.957670497130871,0.00673794699908654,0.0598518408654877,NA,36.9772318424269,"Conceptual First",73.105
"122",102,"Conceptual","Rough",5,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.935861675673281,0.00673794699911498,0.0586749336000518,NA,38.4774026963347,"Conceptual First",73.105
"123",102,"Conceptual","Rough",6,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.986911538400908,0.00673794699909668,0.0587962240290103,NA,21.2363077190782,"Conceptual First",73.105
"124",102,"Conceptual","Rough",7,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.942403979749916,0.00673794699909019,0.0558608427254605,NA,64.0465247757633,"Conceptual First",73.105
"125",102,"Conceptual","Rough",8,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.918696440191124,0.00673794699909161,0.0580037575619903,NA,64.9719972274657,"Conceptual First",73.105
"126",102,"Conceptual","Rough",9,367.603974600582,0.483098994963613,"RBF","UCB",NA,0.969119058020404,0.00673794699927756,0.0580701771785628,NA,54.486916662032,"Conceptual First",73.105
"127",102,"Conceptual","Rough",8,414.134693147675,0.417670498962745,"BMT","UCB",1.28071530048468,NA,0.0067379469990855,0.0603376017394757,NA,72.6743390392636,"Conceptual First",73.105
